"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Tiga Janggo","Comedy",1976,NA,"Colour",NA,NA,NA,"MT Arsyad","Nawi Ismail","Nawi Ismail","Benyamin S, Mansjur Sjah, Eddy Gombloh, Muni Cader, A Hamid Arief","Banyolan dari Benyamin S. dan Nawi Ismail dengan menggunakan parodi Jango, tokoh film koboi ""spagethi"" cukup populer di Indonesia. Tengok saja nama Bero City yang membutuhkan sheriff baru. Maka datanglah tiga janggo, Benny (Benyamin S), Man (Mansjur Sjah), dan Gommy (Eddy Gombloh). Mereka diharap bisa menumpas gerombolan Don Lego (Muni Cader). Banyolan dieksploitir dalam tulang cerita itu. Contohnya: setelah Don Lego kalah, ternyata tidak satu janggo pun mau jadi sheriff, dengan alasan masing-masing. Ada yang diajak pulang kampung istrinya umpamanya. Sementara Benny yang terakhir berhasil juga tidak mau. Alasannya: mau naik haji."
"Benyamin Jatuh Cinta","Comedy",1976,NA,"Colour",107,NA,NA,"Arcan Arifin, Othman Sulaiman","Syamsul Fuad","Syamsul Fuad, Arizal","Benyamin S, Grace Simon, Juni Arcan, A Hamid Arief, S Bagio, Mansjur Sjah","Sabeni atau Ben (Benyamin S), pelukis ""kecil-kecilan"", yang tinggal di Puncak, bertemu dengan kakak-beradik Grace (Grace Simon) dan Yuni (Juni Arcan) yang sedang mengganti ban mobil. Ia pun turun membantu. Sejak itu Ben sering datang ke villa Grace, anak pengusaha kaya (A. Hamid Arief). Ketika tahu Ben pandai menyanyi, maka Grace mengajaknya bergabung dengan band yang dipimpinnya. Grace dipanggil pulang ayahnya yang mendadak sakit. Ben nekad menyusul, meski tak tahu alamat. Mulailah banyolan digali karena ketidaktahuan ini. Ia hanya tahu alamat kawannya, Bagio (S. Bagio) yang ternyata terletak di di belakang gedung tinggi, kantor milik ayah Grace. Banyolan lain: tanpa sengaja ia kena razia, dituduh mencopet, dll. Akhirnya tentu saja, Ben jadi penyanyi tenar, meski masih ada ganjalan. Kisah cintanya dengan Grace dihalangi oleh ayah, Grace dijodohkan dengan Mansjur (Mansjur Sjah), yang ternyata adalah pemuda hidung belang. Dengan ketahuannya belang Mansjur ini, maka Grace diperbolehkan pacaran dengan Ben."
"Naga Merah","Drama",1976,NA,"Colour",112,NA,NA,"Abbas Wiranatakusuma, Hidayat Saleh, Achmad D","Fritz G Schadt","Misbach Jusa Biran, Letkol Jeanne Mandagi SH","Dicky Zulkarnaen, Marissa Bigode, Arifin Hidayat, Meiske Sundah, Usman Effendy","Kisah tentang pemberantasan narkotika. Kapten Edi Rosadi (Dicky Zulkarnaen) memimpin operasi pemberantasan itu. Ketika gembongnya lari ke Filipina, Edi ""terpaksa"" menyusul ke Filipina. Tentu dengan hasil baik."
"Chicha","Children",1976,NA,"Colour",113,NA,NA,"Njoo Han Siang","Eduart P Sirait","Asrul Sani","Chicha Koeswoyo, Irwan Sumadi, Rae Sita, Tatiek Tito, Ade Irawan","Chicha (Chicha Koeswoyo) terpaksa diambil oleh ayahnya dari rumah neneknya, karena yang terakhir ini meninggal. Ia dititipkan di sana, karena ayahnya sibuk bermusik. Di Jakarta, di sekolah barunya, ia duduk sebangku dengan Yanto (Irwan Sumadi), raja bandel di kelas. Berbagai ulah Yanto tentu jadi bagian film. Chicha sendiri bersahabat dengan anak lumpuh. Ibu Yanto, yang kehilangan anak pertamanya, melihat Chicha sebagai penggantinya. Saat sang ibu itu melahirkan, Chichalah yang menghibur, hingga Yanto disadarkan dari kenakalannya."
"Bungalow di Lereng Bukit","Drama",1976,NA,"Colour",80,NA,5,"Turino Djunaidy","Turino Djunaidy","Turino Djunaidy, Abdullah Harahap","Hendra Cipta, Lenny Marlina, S Parya, Farouk Afero, Ruth Pelupessy","Anton (Hendra Cipta), menelpon Dora (Lenny Marlina), pelacur, untuk berkencan dan dibawa ke bungalownya yang terpencil di lereng bukit dan tepi laut, yang dijaga Parto (S. Parya) dan dua anjing herder. Suasana misterius ditampilkan. Dora diperlakukan baik-baik awalnya dan tidak disentuh. Tapi, setelah Dora memergoki Anton sedang memaki-maki di hadapan sebuah lukisan, maka Dora disiksa. Keluarlah pengakuan Anton: ibunya dibunuh ayahnya yang terpikat Lucy (Ruth Pelupessy), seorang pelacur. Anton pun mendendam dan akan membunuh setiap pelacur, sementara ayahnya terbunuh oleh tangannya sendiri waktu menembak ibunya."
"Kisah Cinta","Drama",1976,NA,"Colour",104,NA,NA,"Herman Samadikun","John Tjasmadi","John Tjasmadi","Mila Karmila, Robby Sugara, Lahardo, Yatti Surachman, Lely Haryo Sungkono","Tujuannya tampaknya adalah asimilasi, suatu masalah Cina di Indonesia. Tapi, ia diberi bumbu masa revolusi, saat warga Cina di sini juga ada yang membantu perjuangan kemerdekaan, hingga ada Tan Kim San dan Letnan Kusman sempat berikrar akan menjodohkan anak mereka. Latar belakang itu yang melandasi liku-liku percintaan anak-anak mereka Tan Cong Ham dan Kusmiyati, yang berakhir bahagia."
"Detektif Dangdut","Comedy",1976,NA,"Colour",NA,NA,NA,"Herman Samadikun","Pitrajaya Burnama","Narto Erawan Dalimarta, S Bono Partosanjoyo","Bambang Hermanto, Lenny Marlina, S Bagio, Sumiati, Hardjo Muljo","Tiang kisah dari banyolan ini adalah berita yang dibaca Wan Gedong (Bambang Hermanto) yang isinya bahwa Fatimah (Lenny Marlina), anak dari istri yang telah pergi, adalah ahli warisnya. Ia menyewa Bagio (S. Bagio), sebagai detektif, padahal hari-hari Bagio ini adalah tukang becak yang suka berjoged dengan para waria. Tentu akhirnya Wan Gedong kumpul kembali dengan anaknya Fatimah."
"Oma Irama Penasaran","Drama",1976,NA,"Colour",100,NA,NA,"Jackson","A Harris","A Harris","Oma Irama, Yatie Octavia, A Hamid Arief, Aminah Cendrakasih, Netty Herawati","Seorang penyanyi dangdut, Oma (Oma Irama), pacaran dengan putri pemimpin sebuah perkebunan, Ani (Yatie Octavia). Tentu saja ayah sang gadis (A. Hamid Arief) mencegah hubungan itu. Oma pergi ke Jakarta, dan setelah menempuh jalan yang tidak mulus, akhirnya sukses besar. Sementara itu, Ani minggat dari rumah, hingga orangtua repot. Happy end."
"Mustika Ibu","Drama",1976,NA,"Colour",122,NA,NA,"Jeffry Sani","Wisjnu Mouradhy","Sjufriamin Umar","Deddy Sutomo, Debby Cynthia Dewi, Eva Devi, A Hamid Arief, Aminah Cendrakasih","Kisah biografi peranakan Cina, Gono (Deddy Sutomo), sejak kecil hingga jadi raja kapal. Kisah perjuangan hidupnya sejak zaman Belanda, Jepang, hingga awal kemerdekaan. Karena tekanan ekonomi, Gono kecil pindah dari satu orangtua ke orangtua lain, dari satu kota ke kota lain. Setelah remaja, Gono mulai berhasil memperbaiki kehidupan ekonominya. Ia juga aktif membantu gerilyawan kemerdekaan dengan menyelundupkan senjata. Saat itu pula ia kawin dengan Tini (Debby Cynthia Dewi), seorang gadis pribumi. Persoalan timbul saat Kwee (Eva Devi), gadis Cina yang dijodohkan padanya, muncul di Indonesia. Untung Tini bisa mengerti, maka mereka hidup seatap, sampai saat Kwee meninggal."
"Cinta Abadi (Menara Gading)","Drama",1976,NA,"Colour",NA,NA,NA,"Washi Dipa","Wahyu Sihombing","Tatiek Maliyati WS","Hisyam Fakhri, Deddy Mizwar, Ria Irawan, Erna Santoso, Dicky Zulkarnaen, Kusno Sudjarwadi","Rais (Hisyam Fakhri, Deddy Mizwar), anak janda miskin, sejak kecil bersahabat dengan Leila (Ria Irawan, Erna Santoso), anak orang kaya dan terpandang. Persahabatan menjadi cinta saat mereka remaja sampai Rais jadi dokter. Tapi, hubungan ini jelas tak dikehendaki orangtua Leila. Agar Leila lupa pada Rais, ibunya membuat Leila sibuk antara lain belajar piano ke Paris. Maksud ini tak kesampaian. Leila tetap rajin mengunjungi Rais di desa, tempatnya praktik. Lalu muncul Roy (Dicky Zulkarnaen) yang baru pulang dari Paris. Roy inilah yang menurut ibunya, pantas jadi pasangan Leila. Karena jebakan pegawai Imron (Kusno Sudjarwadi), ayah Leila, Rais mendapat nama jelek, sekaligus jadi lumpuh karena kecelakaan. Leila jadi benci Rais. Dan Roy pun diterima jadi suaminya. Ternyata perkawinan kacau. Roy kelihatan belangnya sebagai penjudi dan tukang main perempuan. Leila bercerai dari suaminya dengan campur tangan ayahnya. Ia lalu mencari Rais. Ternyata Rais sudah kawin dan beristri, meski lumpuh."
"Rajawali Sakti","Action",1976,NA,"Colour",93,NA,NA,"Sugiri, S Soetrisno","Sisworo Gautama","Darto Joned, Ganes TH","Johny Kokong, WD Mochtar, Tina Juhara, Parto Tegal, Septia Rini, Supi Rachman","Dirgantara Putra alias Tara (Johny Kokong) turun gunung meninggalkan guru yang mendewasakannya dan memberinya ilmu. Ia juga berniat mencari tahu siapa dirinya lewat potongan kalung yang dibawanya saat ia diselamatkan sang guru waktu kecil 20 tahun lalu."
"Bukit Perawan","Action",1976,NA,"Colour",90,NA,5,"Arwys Rangkuti","Ostian Mogalana","Ostian Mogalana, Sutrisno Wijaya","Sutrisno Wijaya, Enny Christina, Liliek A Deliana, Sari Asmoro, Asep Suparman","Tiga pendekar yang memiliki keahlian masing-masing menurunkan ilmunya pada Jaka Lelana (Sutrisno Wijaya). Setelah tiga tahun ia disuruh turun gunung dan sampai ke sebuah desa yang dikuasai oleh tuan tanah pemeras yang punya jagoan-jagoan hebat, termasuk di antaranya Teratai Hitam (Enny Christina), yang senang memperkosa pria. Ke desa itu muncul juga seorang jagoan yang ingin dianggap pesilat nomor satu di kolong langit. Jaka terpaksa menghadapi mereka semua ini untuk membela penduduk dan juga seorang gadis yang dipaksa kawin oleh anak tuan tanah. Setelah selesai, ia kembali berkelana."
"Tarsan Pensiunan","Comedy",1976,NA,"Colour",127,NA,NA,"MT Arsyad","Lilik Sudjio","Lilik Sudjio, Sofyan Sharna","Benyamin S, Awaludin, Ida Royani, S Diran, Ratmi B-29, Yatni Ardi, S Bagio","Tarsan (Benyamin S), yang telah dipungut oleh Pak Awal (Awaludin), yang sudah pensiun, meninggalkan rumah dan keluyuran, karena Ida (Ida Royani) sedang ke luar negeri. Kebetulan ketemu Diran (S. Diran), polisi yang menangkapnya dulu, dan kini sudah pensiun. Tarsan menetap di rumah Diran. Istri Diran, Ratmi (Ratmi B-29), tidak mengetahui pantangan Tarsan, yang tidak boleh makan yang berasal dari binatang. Akibat melanggar pantangan, maka semua binatang marah padanya, termasuk piaraan Diran, seperti monyet, kucing, ayam dll, yang lalu mengeroyok Tarsan. Maka Tarsan pun masuk hutan lagi. Di hutan pun ia dimusuhi binatang hutan. Terpaksa Tarsan kembali ke kota dan ketemu Bagio. Mereka bekerja sama dengan mengamen. Bagio jadi orang utan. Lalu mereka ketemu dengan Yenni (Yatni Ardi), yang hobi mengeringkan binatang. Yenni membujuk Tarsan agar menjual orang utan itu. Maka terbukalah kedok orang utan bohong-bohongan itu, saat Yenni bersiap-siap membedah untuk mengeringkan orang utan itu."
"Ciuman Beracun","Thriller",1976,NA,"Colour",88,NA,NA,"Alex Tedja","Ratno Timoer","Ratno Timoer","Farida Yasmine, Ratno Timoer, Torro Margens, Tina Juhara, Risye Ramona","Sari (Farida Yasmine) merencanakan memberikan keperawanannya pada calon suaminya, Wisnu (Ratno Timoer). Rencana itu buyar karena perkosaan yang dilakukan Denny (Torro Margens) dkk, di samping menganiaya Wisnu sampai cacat. Sari jadi tertekan hidupnya dan merencanakan pembalasan. Satu per satu berandalan itu bisa disiksanya, namun Sari belum puas sebelum ketemu biangnya, Denny, pemuda dengan latar belakang keluarga berantakan, dan hidupnya dibiayai oleh seorang janda, Thelma (Tina Juhara). Yang dicari-cari akhirnya ketemu di sebuah klab malam tempat Sari bekerja sebagai penyanyi. Suatu hari Sari datang atas undangan Thelma. Denny yang mendalangi undangan itu, bermaksud mengulang perbuatannya. Sari bisa mengelak dan melampiaskan dendamnya. Pada saat bersamaan muncul pula Wisnu, yang lalu menghabisi Denny. Thelma yang kehilangan Denny, balas menghabisi Wisnu. Maka, Sari dan Thelma yang harus menghadapi polisi dan pengadilan. Kemungkinan, kisah ini ""diilhami"" oleh film ""Lipstick"" dari Amerika Serikat."
"Impian Perawan (Melati)","Drama",1976,NA,"Colour",95,NA,NA,"Wiyoso","Chris Pattikawa","Wahab Abdi, Pitrajaya Burnama","Christine Hakim, Broery Pesolima, Wahab Abdi, Rina Hassim, Tutie Kirana","Pertemuan antara Melati (Christine Hakim) dan Rio (Broery Pesolima) diawali dengan jatuhnya jeruk dari keranjang Melati, yang datang dari udik untuk mencari kerja. Kebetulan paman Rio punya restoran. Maka kerjalah Melati di situ. Ia mulai sebagai pelayan, dan akhirnya bisa menjadi penyanyi top. Konflik timbul waktu diketahui bahwa antara ayah Rio dan ibu Melati pernah terikat hubungan suami-istri. Masalah ini kemudian diselesaikan tanpa urusan yang bertele-tele. Dengan banyaknya penampilan penyanyi, maka film ini nyaris seperti acara musik televisi."
"Cinta Kasih Mama","Drama",1976,NA,"Colour",87,NA,NA,"Abdul Madjid, A Latief Ewa","Sisworo Gautama","Sisworo Gautama, Hasjim Thamin","Adi Bing Slamet, Yatie Octavia, WD Mochtar, Parto Tegal, Hasjim Thamin","Ewa (Adi Bing Slamet) adalah anak melarat yang terlunta-lunta. Ayahnya sudah meninggal, sementara ibunya, Marlia (Yatie Octavia), babu cuci yang masih seksi dan bergendak dengan bergajul Karta (WD Mochtar). Karena kelewat memeras, Marlia melawan, dan Ewa menghajar bergajul itu dengan sebatang kayu. Di depan polisi Marlia pasang badan untuk melindungi anaknya, hingga ia ditahan, meski bukti belum cukup. Ewa dimanfaatkan Karta yang belum mati, untuk jadi pencopet. Ewa bisa lari dari Karta, dan bertemu dengan seorang penolong. Ia dimasukkan rumah yatim-piatu. Di sini bakat nyanyinya tampak. Bakat ini menarik perhatian seorang kaya, hingga ia dipungut anak. Karta tetap belum jera. Saat tahu tempat Ewa, ia memaksa Ewa membantu penggarongan rumah ayah angkatnya itu. Ewa mengadu pada ibunya di tahanan. Sang ibu mengaku pada polisi, hingga akhirnya Karta bisa ditangkap saat melakukan aksinya."
"Manusia Purba","Comedy",1976,NA,"Colour",NA,NA,NA,"Yoseano Waas","Frans Totok Ars","Frans Totok Ars","S Bagio, Darto Helm, Lydia Mashuri, Yoseano Waas, Rachmat Kartolo","Di negeri antah berantah, hidup dua suku yang saling bermusuhan, Bhuyanus dan Lepharus. Suatu hari datang dua orang juga entah dari negeri mana. Mereka, Prof. Bagio (S. Bagio) dan Dr. Darto (Darto Helm) adalah dua ahli purbakala. Suku Bhuyanus merasa terganggu atas kegiatan dua orang tadi dan menangkap mereka. Putri kepala suku Bhuyanus jatuh hati pada Bagio yang disiksa. Dalam suatu kesempatan Bagio dan Darto berhasil lari bersama putri kepala suku tadi. Celakanya ia jatuh ke suku Lepharus. Maka suku Bhuyanus siap memerangi suku Lepharus."
"Dr. Firdaus","Drama",1976,NA,"Colour",94,NA,NA,"Harris Lasmana","Arizal","Arizal","Fadly, Lenny Marlina, Wahab Abdi, Sofia (Sofia WD), Ade Irawan, Kusno Sudjarwadi","Alkisah seorang bayi berhasil diselamatkan dari ibunya yang meninggal, sementara bayi lain meninggal dari seorang ibu yang selamat. Atas dasar ""kemanusiaan"", sang dokter yang menolong persalinan itu, menggelapkan bayi yang hidup dan memberikannya pada ibu yang hidup. Bayi inilah yang kemudian bernama Firdaus (Fadly), yang saat mahasiswa pacaran dengan Rani (Lenny Marlina). Sayang disayang, Rani memilih Ismed (Wahab Abdi), pengusaha yang sudah dijodohkan ayahnya. Maka bertekunlah Firdaus meraih gelar dokternya. Kisah sedih belum berakhir. Ismed sakit kanker dan Firdaus harus menanganinya. Antara tugas dan dendam. Rani menuduh Firdaus dendam, maka ia jadi berbalik sikap. Sepenuh hati mengusahakan kesembuhan Ismed, sampai mengorbankan diri."
"Boss Bagio dalam Gembong Ibukota","Comedy",1976,NA,"Colour",NA,NA,NA,NA,"M Abnar Romli","Benyamin Jamil, M Abnar Romli, Abdul Madjid","Netty Herawati, Syamsuri Kaempuan, Eddy Wardy, Soultan Saladin, Affandi S Yasin, Doris Callebaute, Sol Soleh, Darto Helm, S Diran, S Bagio","Bagio dkk, jumpa dengan seorang kaya, yang dompetnya jatuh dan dikembalikan. Orang itu lalu menjadikan Bagio boss sebuah sindikat narkotik. Maka Bagio jadi kaya. Tapi, kisahnya lebih banyak dibuat untuk menyuguhkan banyolan Bagio dkk, yang hampir tak ada hubungannya dengan jalannya cerita. Pada akhir film, polisi yang terus menguntit kegiatan sindikat ini bisa menggerebek markas sindikat. Bagio dkk ditangkap. Sayangnya, sang polisi tidak diajak untuk melucu. Mereka tetap dibuat serius, tapi dibodoh-bodohkan. Tidak lupa menyisipkan soal pajak, yaitu Bagio tidak mau bayar pajak, karena Yayasan Kesejahteraan Karyawan Pajak ikut mendanai film ini."
"Ingin Cepat Kaya (Babi Jadi-jadian)","Mistic",1976,NA,"Colour",NA,NA,4,"Taruna Suci Utama, TK Gunawan Prihatna","BZ Kadaryono","Agus Latief, Wirjaatmadja Ngadiman","Muni Cader, Lenny Marlina, Syamsuddin Syafei, Husin Lubis, Slamet Harto","Diilhami dari kepercayaan akan adanya ""babi ngepet"", babi yang berasal dari manusia untuk maksud mencuri harta orang lain. Kosim (Muni Cader), penjudi yang selalu kalah, mencoba gantung diri. Atas saran seorang tua, yang diberinya sedekah dan lalu menyelamatkannya dari gantung diri, ia pergi ke Gua Siluman untuk mencari ilmu pada pertapa sakti di situ. Ia mendapat ilmu menjadi babi. Untuk itu ia harus mengorbankan seorang anaknya sebagai syarat. Syarat lain: tak boleh mendengar adzan dan jumpa monyet. Dengan ilmu itu kembalilah dia ke desanya dan ""mengamalkan"" ilmunya. Mula-mula uang di tempat perjudian dicuri, kemudian di tempat orang yang sedang pesta. Makin lama makin kalap, hingga uang seorang nenek tua pun diambilnya. Ia lolos terus, sampai akhirnya ia ketahuan dan dikejar-kejar penduduk desa. Ia sempat lolos, tapi lalu mendengar suara adzan. Pada saat itu juga seorang pemburu menembaknya. Kepalanya diambil sebagai hiasan oleh pemburu. Kepala itu mengaduh-aduh minta dikembalikan ke badannya. Imas juga mengimpikan soal sama. Maka Imas mendatangi pemburu itu. Mereka mengembalikan kepala babi ke tubuhnya yang telah dikubur. Kepala itu berubah jadi kepala Kosim."
"Gadis Simpanan","Drama",1976,NA,"Colour",110,NA,NA,"Djam'an Rachman","Willy Wilianto","Chamid Yasin, Willy Wilianto","Yatie Octavia, Tuty S, Fadly, Lenny Marlina, Atmonadi","Yeti (Yatie Octavia), korban pergaulan bebas di kampung, mencari kerja di Jakarta. Ia terperangkap Tante Sonya (Tuty S), germo. Sebelum ""tergarap"", Yeti sudah diterima bekerja jadi sekretaris Fadli (Fadly), pengusaha. Ternyata ia jadi sekretaris sekaligus gadis simpanannya. Hebatnya, Yeti ini lalu berterus terang pada istri Fadli (Lenny Marlina), bahwa hubungannya belum ""jauh"". Anak yang sedang dikandungnya adalah akibat hubungannya dengan pemuda desa, kekasihnya, yang sekarang jadi penyanyi di sebuah klab malam, dan diakui sebagai adik Fadli."
"Liku-liku Panasnya Cinta","Drama",1976,NA,"Colour",96,NA,NA,"Turino Djunaidy","Turino Djunaidy","Turino Djunaidy, Abdullah Harahap","Hendra Cipta, Robby Sugara, Lenny Marlina, Farouk Afero, Alicia Djohar","Perjalanan cinta Freddy (Robby Sugara), karyawan dan dosen, dengan mahasiswinya yang berliku-liku. Freddy pada awalnya terpaksa memperistri Rosliana (Lenny Marlina), yang hamil di luar nikah, karena pacarnya tidak mau bertanggung jawab. Pasangan ini bisa disebut kakak-beradik, karena Freddy diangkat anak oleh orangtua Rosliana. Pasangan ini tentu saja tak serasi dan tak bahagia. Masing-masing lalu menjalin cinta dan cerita sendiri, hingga jalannya kisah berliku-liku, meski akhirnya bahagia dengan pasangan masing-masing."
"Lonceng Maut","Action",1976,NA,"Colour",NA,NA,5,"Tuti Mutia, Run Run Shaw","Frank Rorimpandey, Kwei Chi Hung","Frank Rorimpandey, Tuti Mutia","Hussein Abu Hassan, Farida Ucok, Omar S Syarief, Ucok Aka Harahap, Rina Hassim","Kisah balas dendam. Dua adik dan ibu Andika (Husein Abu Hassan) dihabisi tiga perampok. Maka di depan pusara ibunya ia berjanji akan membalas. Dalam perjalanan ia bertemu dengan seorang guru yang melatihnya hingga piawai selama lima tahun. Maka berangkatlah dia melakukan niatnya. Satu per satu perampok itu ditemuinya dan diingatkannya akan kalung lonceng ibunya. Yang pertama dibelanya dulu dari keroyokan bandar judi, baru diajak duel dan ditewaskannya. Andika sendiri terluka dan dirawat Dayu (Farida Ucok), budak yang berhasil dibebaskannya dan mencintainya. Yang kedua ia bebaskan dari kurungan penjahat lain, baru dihabisi. Yang terakhir yang berhasil jadi perampok besar, dimasuki markasnya, baru sendirian ia menghabisi semuanya."
"Menanti Kelahiran","Drama",1976,NA,"Colour",93,NA,NA,"Adji Aswin","SA Karim","SA Karim","Deddy Mizwar, Vonny Rahayu Pawaka, Farida Arriany, Tan Tjeng Bok, Amoroso Katamsi, Yatti Kusumah","Karena maksudnya hendak membuat film tentang pendidikan seks, maka tiga dokter tampil berbicara dan memberikan ""pidato"" tentang segala sesuatu yang bersangkutan dengan masalah kehamilan, kemandulan dan penyakit kelamin. Tapi, karena ini juga film cerita, maka tampillah kisah tentang Arman (Deddy Mizwar) yang lemah spermanya, hingga meski sudah lima tahun kawin, Nina (Vonny Pawaka) istrinya, belum juga punya anak. Upaya mendapat anak ditambah sedikit pertengkaran keluarga jadi jalur cerita."
"Rintihan Gadis Buta","Drama",1976,NA,"Colour",90,NA,NA,"Yudha Suyoso","Iksan Lahardi","Iksan Lahardi, Narto Erawan Dalimarta","Yatie Octavia, Wahab Abdi, Awang Darmawan, Salmah, Fatimah, Sudewo","Film ini dimaksudkan untuk memeras air mata, karena hampir sepanjang film berisi tangis dan sendu hati. Siti (Yatie Octavia), yang buta harus menanggung derita. Mulai dari terbelitnya hutang ibunya pada Soleh (Wahab Abdi), sampai pada perkosaan yang dilakukan Soleh terhadap Siti. Dullah (Awang Darmawan), bekas bajingan yang bertobat setelah mencintai Siti, terpaksa merampok, karena harus mengganti barang-barang yang dihilangkannya. Ia tertembak. Sebelum meninggal, kornea matanya diambil untuk Siti, hingga bisa melihat kembali."
"Pembalasan Naga Sakti","Action",1976,NA,"Colour",84,NA,NA,NA,"Fritz G Schadt","Fritz G Schadt, Usman Effendy, Setiadi Tryman MS","Eddy Wardy, O Darma, Anita Endey, George Rudy, August Melasz","Film laga ini tampil dengan masalah narkotik, meski sebenarnya masalah itu tidak begitu penting, karena yang dipentingkan adalah pameran perkelahian. Ramon (Eddy Wardy) mengajak jago-jago kungfu untuk menjebak gurunya, Sumampow (O. Darma), yang hendak memberantas pengedar narkotika. Perkelahian terjadi. Karena kelicikan Ramon, Sumampow meninggal, meski sempat membinasakan salah satu kawan Ramon dengan pukulan Naga Sakti. Ramon sebenarnya mencintai putri Sumampow, Yulia (Anita Endey), tapi yang terakhir ini lebih menyukai kawan seperguruan lain, Sony (George Rudy). Sony dan kawan seperguruan lain, Agus (August Melasz), perwira polisi, lalu memberantas komplotan penjahat itu."
"Widuri Kekasihku","Drama",1976,NA,"Colour",93,NA,NA,"Abdul Moeis Sofyan","Sophan Sophiaan","Deddy Armand, Subagyo S","Alicia Djohar, Robby Sugara, Rima Melati, Kusno Sudjarwadi, Ice Yuliastuty","Peran Widuri (Alicia Djohar) di sini tak banyak. Ia hanya tersebut sebagai istri Dr. Arnold (Robby Sugara) yang meninggal saat melahirkan. Karena terguncang oleh peristiwa itu, Arnold gagal menyelamatkan bayi yang lahir dari seorang janda, Indah Susanto (Rima Melati) yang sangat mendambakan anak. Didorong oleh rasa tanggung jawabnya, bayinya sendiri diakukan sebagai anak janda tadi. Status anak ini yang jadi persoalan di kemudian hari. Arnold kemudian kawin dengan perawat Siska. Ketika tak dikaruniai anak, dan karena ancaman orangtua Arnold, Siska lalu membuka rahasia Arnold. Anak itu kemudian bisa kembali ke Arnold, tapi hubungannya dengan Siska merenggang, karena Arnold lebih mementingkan anaknya. Siska diam-diam menyuruh Indah untuk hidup bersama Arnold, sementara dia sendiri menghilang sambil meninggalkan sepucuk surat."
"Antara Surga dan Neraka","Drama",1976,NA,"Colour",81,NA,NA,"Chan Pattimura","Ratno Timoer","Ratno Timoer","Rahayu Effendi, Yatie Octavia, Ratno Timoer, Risye Ramona, Torro Margens","Tiga bujangan mendirikan sebuah usaha melayani wanita. Jelas maksudnya pelayanan seks, meski ternyata kemudian pelayanan itu macam-macam. Ada nenek yang dimintakan membacakan komik, ada yang disuruh membersihkan karpet. Dan sang tokoh utamanya kebagian yang ""enak"" terus, melayani seks wanita yang kesepian, yang menginginkan disiksa, dan dapat pacar juga. Hebatnya lagi, sang pacar yang tinggal di Singapura ini, dengan mudah menerima penyesalan pacar prianya, meski telah tahu pekerjaannya."
"Tanah Harapan","Drama",1976,NA,"Colour",NA,NA,NA,"Sofia (Sofia WD)","Sofia (Sofia WD)","Darto Joned","Parto Tegal, Corry Mochtar, Deddy Sutomo, Moh Mochtar, Lies Lestari","Film penerangan transmigrasi yang disajikan dalam bentuk cerita. Awalnya adalah kemiskinan di desa. Pemuda yang ingin ke kota dicegah, karena kota bukan tempat untuk memperbaiki nasib. Datang tenaga penyuluh transmigrasi. Maka mulailah proses transmigrasi berjalan, mulai dari pendaftaran sampai ke tempat transmigrasi dan berhasil di tempat baru itu."
"Tragedi Tante Sex","Drama",1976,NA,"Colour",NA,NA,5,"Washi Dipa, Tuty S","Bay Isbahi","Pitrajaya Burnama","Tuty S, Lenny Marlina, Kelly Kalyubi, Adang Mansyur, Kusno Sudjarwadi","Tante Rini (Tuty S), janda berusia 35 tahun yang tak pernah mengalami masa remaja karena kawin muda, punya persoalan dengan kesepiannya. Apalagi suaminya yang sudah meninggal berusia lanjut. Kesepiannya itu membuat ia terbujuk kawannya untuk memacari pemuda-pemuda sebagai pemuas dahaganya. Pacar anaknya, Lina (Lenny Marlina), Hafid (Kelly Kalyubi), digaulinya juga. Sementara bayang-bayang suaminya (Adang Mansyur), terus saja mengganggu, karena sang suami tadi sebenarnya mati dibunuh lelaki yang serong dengan Tante Rini. Sebaliknya, melihat ibunya, Lina malah pacaran dengan lelaki berumur, Rais (Kusno Sudjarwadi). Rais ini sebenarnya mengincar Rini. Keintimannya dengan Lina hanya sekadar pembuka jalan. Rini akhirnya sadar masih ada lelaki serius yang menginginkannya sebagai istri, sementara Hafid ingin kembali pada Lina. Kisah berjalan lain: bayang-bayang suaminya ternyata mengguncang Rini, hingga bunuh diri."
"Apa Salahku","Drama",1976,NA,"Colour",NA,NA,NA,"Alex Dial","Sandy Suwardi Hassan","Sandy Suwardi Hassan","Faradilla Sandy, Fadly, Mila Karmila, Moh Mochtar","Faradilla Sandy identik dengan penderitaan dan air mata. Sukses dalam film ""Ratapan Anak Tiri"", tampaknya dilanjutkan terus. Arti (Faradilla Sandy) lahir dengan derita: kedua orangtuanya meninggal. Konon ini pertanda buruk. Maka Arti yang kemudian hidup dengan abangnya, menjadi sasaran mertua abangnya dan kakak iparnya. Karena tak tahan di rumah, Arti pergi. Keadaan mulai berbalik, saat kakak iparnya memerlukan pertolongan darah saat melahirkan. Dan kebetulan darah yang cocok dari desa itu hanya darah Arti. Maka jadilah Arti penyelamat."
