"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Sekolah Kami, Hidup Kami",NA,2008,NA,NA,11,NA,NA,"Steve Pillar Setiabudi","Steve Pillar Setiabudi",NA,"Dermawan Bakrie, Rio Satriawan, Agung Nurjito, BimaFormat syuting DVCamSistem suara StereoBahasa utama Indonesia","Pembuat film dokumenter Steve Pillar Setiabudi (Pilar) awalnya hendak menguji kadar kesadaran politik para subjeknya yang masih belia, murid-murid kelas tiga SMA yang akan segera menapak ke Perguruan Tinggi juga menjadi para pemilih di PEMILU 2009. Dalam perkembangannya, para murid kelas tiga di sebuah SMA di Solo ternyata tak hanya bermimpi di siang hari tanpa melakukan apa-apa untuk mewujudkan perubahan, mereka dengan cara yang matang dan sistematis berhasil mengumpulkan sejumlah bukti praktik korupsi yang selama ini berlangsung di sekolah mereka. Dan inilah titik balik bagi para remaja itu dalam memahami di mana letaknya masa depan yang lebih baik bila bukan di tangan mereka sendiri. (sumber: http://9808films.wordpress.com/)"
"Kemarin",NA,2008,NA,NA,13,NA,NA,"Otty Widasari","Otty Widasari","Otty Widasari","Bambang, Bonita, Otty Widasari","Sutradara Otty Widasari dan dua sahabat lamanya, pasangan bernama Bonet dan Bambang telah saling mengenal selama lebih dari satu dekade. Dalam ""Kemarin"" Otty mengundang kita terlibat ke dalam perbincangan akrab antara Bonet, Bambang, dan dirinya mengenai apa makna dari perjalanan dinamika persahabatan selama puluhan tahun itu. Apakah 10 tahun berarti impian yang sama? Apakah mereka telah menemukan pasangan hidupnya? Menggabungkan gambar yang diambil dari hari-hari silam dengan gambar yang direkam mereka saat pembuatan film, Otty menawarkan keintiman yang jarang terlihat di film-film biasa. (sumber: http://9808films.wordpress.com/)"
"Kucing 9808, Catatan Seorang (Mantan) Demonstran",NA,2008,NA,NA,11,NA,NA,NA,"Wisnu Suryapratama",NA,"Wisnu Suryapratama","April 1998 Wisnu ‘Kucing’ Suryapratama dikenal sebagai salah satu aktivis KA KBUI (Kesatuan Aksi Keluarga Besar UI). Dia adalah koordinator acara Posko KA KBUI yang mengatur jalannya hampir semua aksi demonstrasi KBUI dari awal sampai akhir. April 2008, seorang Wisnu sekarang telah menjadi bapak, pekerja film freelance, suami dengan segala kesibukan pribadinya. Masih adakah sisi demonstran dalam dirinya? (Sumber: http://9808films.wordpress.com)"
"Mengelola Air 2 Kelurahan",NA,2008,NA,NA,20,NA,NA,"Bowo Leksono","Bowo Leksono","Bowo Leksono","Ramli","Siapa yang tak ingin menikmati air bersih yang mengalir di rumah sendiri? Pun demikian dengan warga di Kelurahan Kedung Kandang dan Lesanpuro, Kota Malang. Mereka mampu mengelola air untuk dua kelurahan."
"Pasangan Baru",NA,2008,NA,NA,15,NA,NA,"Damiana Widowati","Salman Aristo","Salman Aristo","Cesa David Luckmansyah, Andhara Early","Ini cerita tentang kaum urban. Tentang Jakarta yang dipenuhi oleh pasangan baru. Pasangan yang bisa asing satu sama lain atau malah mengancam untuk kebanyakan orang."
"Sugiharti Halim",NA,2008,NA,NA,9,NA,NA,"Ariani Darmawan","Ariani Darmawan","Ariani Darmawan","Maria Nadia, Hengky Hidayat, Arifin, Adi Marsela, Islaminur Pompasa, Mathias Indra, Pilihanto, Hans, Raisal Pradipta Wardana, Boit OMU, Trie OMU, Claudia Margaretha","Apa artinya sebuah nama? Bagi Sugiharti Halim, ternyata nama berarti sejumlah pertanyaan panjang. Kadang kocak, kerap menjengkelkan, dan yang jelas penuh kontradiksi: Apa benar seseorang perlu nama ‘asli’? Apa betul nama bisa dijual? Apa iya identitas bisa disamarkan di balik sebuah nama? Sugiharti Halim menawarkan sebuah cara pandang yang jenaka, ‘nyelekit’, sekaligus kontekstual untuk ditilik lagi hari ini.*) Keppres nomor 127/U/Kep/12/1966 mewajibkan WNI etnis Cina untuk mengadopsi nama bernada Indonesia (contoh: Liem menjadi Halim, Lo/Loe/Liok menjadi Lukito dll). (sumber: http://9808films.wordpress.com/)"
"Jangan Bilang Aku Gila!",NA,2008,NA,"Colour",19,NA,NA,"Chandra Tanzil, Zakiah","Kiki FebriyantiFormat syuting miniDV",NA,NA,"Suharto dan Rufiana menderita penyakit jiwa dan menjadi pasien di Pesantren Al-Gahfur, Bondowoso. Setelah dinyatakan sembuh, Rufiana menikah dan mempunyai anak, sementara Suharto memilih untuk tinggal di Al-Gahfur dan bekerja di sana. Baik Suharto maupun Rufiana tetap merasa bahwa keluarga, terlebih lagi masyarakat, sulit untuk menerima mereka kembali."
"Yang Belum Usai",NA,2008,NA,NA,10,NA,NA,"Ucu Agustin","Ucu Agustin","Ucu Agustin","Ibu Sumarsih","Perjalanan Ibu Sumarsih, ibunda dari Wawan salah seorang mahasiswa yang tertembak mati sepuluh tahun silam masih berlanjut. Entah kapan ia dan sejumlah orangtua lainnya bisa memperoleh keadilan. Setiap Kamis, Ibu Sumarsih bersama para orangtua lainnya mengadakan aksi Kamisan, tanpa peduli keadaan cuaca. Akankah saatnya tiba baginya untuk menghentikan perjuangan?"
"Kala Lereina",NA,2008,NA,NA,14,NA,NA,NA,NA,NA,NA,"Bagi Lereina, berayah Jawa-Muslim dan beribu Yahudi-Kristen tidaklah membuat hidupnya mudah. Setelah bertahun-tahun terombang-ambing antara budaya dan agama, ia berharap identitas yang ia pilih sekarang akan membuatnya kukuh untuk selamanya."
"Traffic Jam","Drama",2008,NA,"Colour",17,NA,NA,"Shanty Harmayn, Damiana Widowati, Tam Notosusanto","Tam Notosusanto","Tam Notosusanto","Ohan Adiputra, Ida Zein, Lilis Ireng, Tuta Putrama, Keith FooFormat syuting DVCam","Jalanan kota besar. Mobil-mobil terjebak dalam macet. Enam orang yang terperangkap dalam kungkungan sepeda motor dan kendaraan-kendaraan lain mulai merasa geram dan gelisah. Lalu satu per satu kejadian mulai bermunculan."
"The Last Journey",NA,2008,NA,"Colour",28,NA,NA,"Lalu Rois Amri","Endah W Sulistianti",NA,"Sa’alihFormat syuting miniDV","Sa’alih mempunyai 4 proyektor film, lebih dari 200 film 35mm, dan beberapa karyawan. Ia adalah pemilik perusahaan layar tancap terakhir yang masih bertahan di Jakarta."
"Molly",NA,2008,NA,NA,7,NA,NA,"Yudha Prio","Mulyadi Witono",NA,"Waode Ghien Nadela, Sashya Alyasa, Indria PermanaFormat syuting 16mm","Molly, seorang gadis cilik yang memiliki kegemaran mendinginkan tubuhnya di depan kulkas. Suatu ketika ia mendapatkan seekor anak ayam dan saat selepas bermain, Molly beranggapan ayamnya kepanasan."
"Sang Murabbi: Mencari Spirit yang Hilang","Drama",2008,NA,"Colour",93,NA,10,"Mohammad Ridwan, Mahfudz Abdurahman","Zul Ardhia","Zul Ardhia, M Yulius, Imank Chia","Sutan Reinaldy, Aty Cancer, Astri Ivo","Ini adalah film biografi tentang almarhum KH Rahmat Abdullah (1953-2005). Kisah dimulai dengan tuturan ibunya yang mengatakan bahwa sejak kecil cita-cita Rahmat hanya jadi guru. Cita-citanya ini terwujud dan bahkan menjadi ustad yang terkenal. Dalam perjalanan kariernya ini, terlukis juga dalam film kondisi yang tidak selalu menguntungkan: Peristiwa Tanjung Priok, kecurigaan masyarakat terhadap ajaran-ajaran yang diberikan, hingga muncul tuduhan bahwa dia memberikan ajaran sesat. Ia lalu juga terlibat dalam Partai Keadilan dan terpilih sebagai anggota DPR."
"Drupadi","Drama, Legend",2008,NA,"Colour",40,NA,NA,"Mira Lesmana, Dian Sastrowardoyo, Wisnu Darmawan","Riri Riza","Leila S Chudori","Dian Sastrowardoyo, Nicholas Saputra, Doni Alamsyah, Ario Bayu, Butet Kartaredjasa, Whani Dharmawan, Djarot Budi Dharsono, Aditya Bagus Santosa, Aditya Bagus Sambada, Dwi SasonoRasio gambar 1.85:1Format syuting 35mm","Kisah tentang Drupadi, istri dari lima bersaudara Pandawa. Di malam yang menentukan, Pandawa diundang bermain dadu melawan Kurawa bersaudara. Sakuni, paman para Kurawa mengatur permainan itu melawan Yudhistira, sulung dari Pandawa. Yudistria kehilangan seluruh kekayaannya, dan lalu kerajaannya. Ia juga mempertaruhkan saudara-saudaranya, dirinya, dan akhirnya Drupadi, untuk menjadi hamba sahaya."
"The Maling Kuburans","Comedy, Horor",2010,2010-07-02,NA,86,"DEWASA",1,"Hasrat Djoeir, Gita Jiwatram","Dwi Ilalang","Deden Tristanto, Raya Fahreza","Indra Birowo, Donita, Ytonk Club80s, Syahrini, Tessy, Herry Savalas, Yurike Prastica, Pierre Gruno","Niko (Indra Birowo) dan Imen (Ytonk) terpaksa menjadi maling kuburan dadakan untuk menebus warisan kedua ayah mereka, yang ternyata juga berprofesi sebagai maling kuburan. Usaha mereka untuk menjadi maling kuburan, tidaklah mudah. Apalagi ketika mereka berhasil mendapatkan peta lokasi kuburan yang justru telah berubah menjadi bangunan asrama kesusteran putri."
"Suster Keramas","Comedy, Horor",2009,2009-12-31,"Colour",83,"DEWASA",1,"Ody Mulya Hidayat","Helfi Kardit","Abbe Ac","Rin Sakuragi, Herfiza Novianti, Rizky Mocil, Zidni Adam, Shinta Bachir, Alex Abbad, Yadi Sembako","Mengisahkan seorang wisatawan Jepang (Rin Sakuragi) yang mencari saudaranya yang berprofesi sebagai suster di Indonesia. Ironisnya, saudaranya itu ternyata sudah meninggal."
"Bukan Malin Kundang","Comedy",2009,2009-12-23,"Colour",86,"REMAJA",6,"Gope T Samtani, Subagio Samtani","Iqbal Rais","Hilman Mutasi, Semali, Iqbal Rais, Dono Indiarto","Ringgo Agus Rahman, Sissy Prescillia, Desta, Jaja Mihardja, Joe P Project, Aming, Dewi Irawan","Ryan (Ringgo Agus Rahman), Ado (Desta), dan Luna (Sissy Priscillia) adalah sekumpulan mahasiswa yang saling bersahabat dan sama-sama suka menjahili orang lain. Ryan hidup bersama ibunya sebagai orang tua tunggal. Ado yang berasal dari keluarga besar kurang mendapat perhatian dari orang tuanya. Sementara Luna dibesarkan oleh orang tua yang sangat memperhatikannya. Suatu hari, Ryan mengikat seorang nenek (Aming) di tiang listrik sebagai lelucon dan karena marah sang nenek mengutuk Ryan. Setibanya di rumah, Ryan menemukan patung batu perempuan yang berwujud Ibunya. Ado dan Luna pun membantu Ryan mengembalikan wujud ibunya baik dengan cara pengobatan modern hingga menemui seorang dukun (Joe P Project) dan tetua Jakarta yang telah hidup lima zaman di Jakarta, Pak Sabeni (Jaja Miharja)."
"Sang Pemimpi","Drama",2009,2009-12-17,"Colour",128,"REMAJA",7,"Mira Lesmana, Putut Widjanarko, Toto Prasetyanto, Gangsar Sukrisno","Riri Riza","Riri Riza, Mira Lesmana, Salman Aristo","Vikri Setiawan, Rendy Ahmad, Azwir Fitrianto, Nugie, Landung Simatupang, Mathias Muchus, Lukman Sardi, Zulfanny, Nazril Irham, Sandy Pranatha, Rieke Diah Pitaloka, Maudy Ayunda, Yayu Unru, Jay Widjajanto","Sang Pemimpi merupakan kelanjutan dari Laskar Pelangi. Film ini bercerita tentang Ikal (Vikri Setiawan) dan saudara sepupunya, Arai (Rendy Ahmad), serta sahabatnya, Jimbron (Azwar Fitrianto), pada usia remaja, dan mengisahkan tentang anak remaja yang mencari identitas diri dan seksualitas pada usia 17 tahun."
"Ai Lop Yu Pul","Drama, Comedy",2009,2009-12-10,"Colour",82,NA,2,"Leni Lolang","Winaldha E Melalatoa","Faldin Marta","Ricky Harun, Oxcerila Paryana, Didi Petet, Anna Shirley, VJ Mike, Ria Irawan, Ence Bagus, Opi Bachtiar, Mely Saridh, Djenar Maesa Ayu","Kios Emak (Anna Shirley) diledakkan dengan menggunakan petasan oleh gerombolan penagih hutang yang dipimpin oleh Beno (VJ Mike). Topan (Ricky Harun) sangat marah atas kejadian itu dan berniat membalas perlakuan Beno cs yang dipimpin oleh Satyo (Didi Petet). Maka Satyo pun jadi target balas dendam Topan. Topan gagal menjalankan aksinya. Saat sedang memasuki rumah Satyo, Topan malah tertimpa Indah (Oxcerila), anak Satyo yang sedang berniat kabur dari rumah. Rencana mereka nyaris gagal. Indah pura-pura disandera oleh Topan dan berhasil melarikan diri setelah melumpuhkan Beno cs.Takut tertangkap polisi karena dianggap menculik, Topan terpaksa mengikuti Indah untuk bersama-sama kabur ke Jakarta. Keduanya melewati masa pelarian dengan sikap saling bermusuhan. Setelah melewati berbagai masalah, meski terlambat menyadari, benih cinta sudah terlanjur tumbuh di hati mereka"
"Fugu, a Sushi Tale","Drama",2009,NA,"Colour",75,NA,NA,NA,"Faozan Rizal",NA,"Nobuyuki Suzuki, Ri Kaode, Beby HasibuanTanggal edar Sunday, 06 December 2009Format syuting DVCam","X (Suzuki Nobuyuki) bertemu dengan Y (Ri Kaode) dan saling jatuh cinta. Menikah. Mereka berbulan madu ke Bali. Y menghilang dari rumah bulan madu mereka. X kembali ke Jakarta, bertemu dengan Z (Beby Hasibuan). Menikah? Mereka pergi ke rumah bulan madu yang sama di Bali. Tiba-tiba Y muncul kembali dalam hidup mereka. Film ini menceritakan tentang situasi seseorang yang harus memilih, siapa yang akan tetap hidup dan siapa yang akan bunuh diri, pada akhirnya… semua adalah tentang pilihan."
