"year","manufacturer","type","gearshift","fuel","distance","city","price"
2010,"Honda","Motorcycles Vario","Otomatis","Bensin",50000,"Indonesia",6.45
2016,"Yamaha","Aerox","Otomatis","Bensin",1,"Indonesia",13.5
2010,"Yamaha","Mio Soul","Otomatis","Bensin",1,"Indonesia",4
2016,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",13.3
2017,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",13.3
2012,"Yamaha","Vega Zr","Manual","Bensin",1,"Indonesia",3.9
2015,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",15
2011,"Yamaha","Mio","Otomatis","Bensin",1,"Indonesia",4
2014,"Honda","Motorcycles Tiger Revo","Manual","Bensin",1,"Indonesia",15
2011,"Suzuki","Spin","Otomatis","Bensin",1,"Indonesia",3.5
2018,"Yamaha","Aerox","Otomatis","Bensin",8000,"Depok",25
2015,"Kawasaki","Ninja KRR","Manual","Bensin",12200,"Indonesia",26
2016,"Yamaha","NMax","Otomatis","Bensin",36600,"Indonesia",21
2014,"Yamaha","YZF","Manual","Bensin",5849,"Kota Jakarta Timur",16
2018,"Yamaha","Aerox S","Otomatis","Bensin",15000,"Indonesia",18.6
2007,"Yamaha","RX King 135 new","Manual","Bensin",14979,"Madiun",29.5
2018,"Honda","Motorcycles Beat ESP CBS","Otomatis","Bensin",1300,"Indonesia",13.8
2014,"Yamaha","V-ixion New Lightning","Manual","Bensin",67000,"Indonesia",11
2011,"Honda","Motorcycles Beat","Otomatis","Bensin",35000,"Indonesia",9
2017,"Kawasaki","Ninja 250R Fi","Manual","Bensin",8000,"Indonesia",45
2013,"Honda","Motorcycles Beat Fi","Otomatis","Bensin",32175,"Indonesia",10
1952,"BSA","350","Manual","Bensin",20000,"Kota Jakarta Timur",140
2017,"Kawasaki","KLX 150 BF","Manual","Bensin",11210,"Indonesia",27
2018,"Yamaha","YZF R15","Manual","Bensin",7000,"Kota Jakarta Timur",25
2017,"Yamaha","YZF R15","Manual","Bensin",5000,"Indonesia",24
2015,"Suzuki","Satria Fu","Manual","Bensin",1,"Indonesia",12.5
2017,"Yamaha","Nmax Abs","Otomatis","Bensin",1,"Indonesia",25
2011,"Yamaha","Vega Zr","Manual","Bensin",1,"Indonesia",6.5
2017,"Yamaha","Mio Z","Otomatis","Bensin",1,"Indonesia",10.3
2016,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",9
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",10.5
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",12.5
2018,"Honda","Motorcycles Sonic R","Manual","Bensin",1,"Indonesia",14.5
2018,"Yamaha","Yzf R15 Vva","Manual","Bensin",1,"Indonesia",28.5
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",12.5
2017,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",16.5
2019,"Yamaha","Lexi","Otomatis","Bensin",1,"Indonesia",17
2012,"Kawasaki","Ninja 250 Fi","Manual","Bensin",1,"Indonesia",40
2018,"Suzuki","Nex Ii","Otomatis","Bensin",1,"Indonesia",10
2014,"Honda","Motorcycles Scoopy Fi","Otomatis","Bensin",1,"Indonesia",8.5
2018,"Honda","Motorcycles Supra Gtr","Manual","Bensin",1,"Indonesia",15
2017,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",12.5
2015,"Honda","Motorcycles Scoopy Fi","Otomatis","Bensin",1,"Indonesia",7
2018,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",25.5
2018,"Yamaha","Fino 125","Otomatis","Bensin",1,"Indonesia",13.5
2012,"Kawasaki","Er-6F","Manual","Bensin",1,"Indonesia",68.5
2019,"Yamaha","Freego","Otomatis","Bensin",1,"Indonesia",17.5
2018,"Honda","Motorcycles Cbr 150R","Manual","Bensin",1,"Indonesia",24
2019,"Yamaha","Mio S","Otomatis","Bensin",1,"Indonesia",10.5
2018,"Suzuki","Smash 110","Manual","Bensin",1,"Indonesia",8.25
2019,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",17.5
2018,"Honda","Motorcycles Vario 150","Otomatis","Bensin",1,"Indonesia",16.8
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",12.5
2016,"Honda","Motorcycles Revo Fi","Manual","Bensin",1,"Indonesia",7.5
2014,"Honda","Motorcycles Beat Fi","Otomatis","Bensin",1,"Indonesia",7
2019,"Honda","Motorcycles Vario 150","Otomatis","Bensin",1,"Indonesia",17.8
2014,"Honda","Motorcycles CBR","Manual","Bensin",72000,"Indonesia",19
2017,"Yamaha","X-MAX","Otomatis","Bensin",5000,"Indonesia",49
2016,"Kawasaki","Ninja 250cc SE KRT","Manual","Bensin",30000,"Indonesia",45
2017,"Yamaha","N-Max Non-ABS","Otomatis","Bensin",4700,"Kota Jakarta Timur",22
2016,"Kawasaki","Ninja 250FI","Manual","Bensin",12000,"Indonesia",48
2012,"Honda","Motorcycles Spacy","Otomatis","Bensin",55000,"Bojonegoro",8.5
2018,"Yamaha","NMax","Otomatis","Bensin",8825,"Indonesia",24
2006,"Yamaha","Scorpio modif Triump","Manual","Bensin",1e+05,"Bandung",26
2013,"Kawasaki","Ninja RR 150","Manual","Bensin",39000,"Indonesia",22
2014,"Honda","Motorcycles CBR150cc","Manual","Bensin",2791,"Medan",24
2016,"Kawasaki","Ninja 250R Fi","Manual","Bensin",15000,"Indonesia",43
2016,"Kawasaki","Ninja 250 RR Mono","Manual","Bensin",5,"Kota Bks",26
2015,"Honda","Motorcycles Vario iss fi 150","Otomatis","Bensin",55000,"Indonesia",13.2
2015,"Harley-Davidson","Street XG500","Otomatis","Bensin",1500,"Bekasi",220
2008,"Kawasaki","Ninja 250R karbu","Manual","Bensin",61000,"Indonesia",28
2018,"Yamaha","Aerox 155","Otomatis","Bensin",10000,"Tangerang Selatan",23
2015,"Honda","Motorcycles Beat","Otomatis","Bensin",1,"Indonesia",11
2012,"Honda","Motorcycles Beat","Otomatis","Bensin",1,"Indonesia",8.2
2014,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",41
2012,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",9
2016,"Yamaha","Byson","Manual","Bensin",1,"Indonesia",12.8
2012,"Yamaha","Mio J","Otomatis","Bensin",1,"Indonesia",6.9
2010,"Yamaha","Mio","Otomatis","Bensin",1,"Indonesia",5.5
2018,"Yamaha","Aerox","Otomatis","Bensin",1,"Indonesia",18.85
2018,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",26.5
2013,"Honda","Motorcycles Scoopy","Otomatis","Bensin",1,"Indonesia",11.35
2016,"Honda","Motorcycles Scoopy","Otomatis","Bensin",1,"Indonesia",13.8
2016,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",24.5
2009,"Honda","Motorcycles Supra","Manual","Bensin",1,"Indonesia",6.5
2012,"Honda","Motorcycles Spacy","Otomatis","Bensin",1,"Indonesia",8.2
