"year","manufacturer","type","gearshift","fuel","distance","city","price"
2014,"HONDA","MOBILIO","OTOMATIS","BENSIN",60000,"JAKARTA SELATAN",1.33e+11
2014,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",84000,"JAKARTA UTARA",2.25e+11
2016,"HONDA","JAZZ","OTOMATIS","BENSIN",31000,"JAKARTA UTARA",2.15e+11
2010,"DAIHATSU","XENIA","MANUAL","BENSIN",1e+05,"DEPOK",9.5e+10
2016,"TOYOTA","CALYA","OTOMATIS","BENSIN",32990,"MAKASSAR",1.25e+11
2016,"DAIHATSU","AYLA","MANUAL","BENSIN",40000,"JAKARTA SELATAN",9.5e+10
2016,"TOYOTA","YARIS","OTOMATIS","BENSIN",40000,"JAKARTA SELATAN",1.65e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",35000,"MAKASSAR",1.25e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",35000,"MAKASSAR",1.25e+11
2014,"HONDA","BRIO","MANUAL","BENSIN",70000,"MAKASSAR",1.03e+11
2013,"SUZUKI","ERTIGA","MANUAL","BENSIN",50000,"MAKASSAR",1.19e+11
2014,"DAIHATSU","TERIOS","OTOMATIS","BENSIN",60000,"JAKARTA SELATAN",1.42e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",30000,"JAKARTA SELATAN",1.1e+11
2016,"TOYOTA","AGYA","MANUAL","BENSIN",31080,"MAKASSAR",1.05e+11
2008,"TOYOTA","AVANZA","MANUAL","BENSIN",1e+05,"MAKASSAR",1e+11
2013,"TOYOTA","AVANZA","OTOMATIS","BENSIN",65657,"MAKASSAR",1.35e+11
2013,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",50000,"DEPOK",1.3e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",3000,"DEPOK",1.18e+11
2016,"HONDA","BRIO","OTOMATIS","BENSIN",30000,"MAKASSAR",1.29e+11
2016,"TOYOTA","CALYA","OTOMATIS","BENSIN",60000,"MAKASSAR",1.2e+11
2015,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",50000,"DEPOK",1.27e+11
2011,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",68000,"JAKARTA UTARA",2.3e+11
2016,"DAIHATSU","AYLA","MANUAL","BENSIN",40000,"JAKARTA SELATAN",9.5e+10
2010,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",80000,"JAKARTA SELATAN",1.25e+11
2013,"TOYOTA","AVANZA","MANUAL","BENSIN",60000,"JAKARTA SELATAN",1.23e+11
2010,"DAIHATSU","XENIA","MANUAL","BENSIN",1e+05,"JAKARTA SELATAN",9e+10
2015,"TOYOTA","YARIS","OTOMATIS","BENSIN",69413,"MAKASSAR",2.25e+11
2012,"TOYOTA","AVANZA","MANUAL","BENSIN",1e+05,"MAKASSAR",1.25e+11
2015,"TOYOTA","KIJANG INNOVA","MANUAL","BENSIN",60000,"MAKASSAR",1.95e+11
2016,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",42260,"SLEMAN",4.2e+11
2017,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",40800,"SLEMAN",4.35e+11
2012,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",76170,"SLEMAN",2.75e+11
2009,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",236123,"SLEMAN",1.63e+11
2010,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",122731,"SLEMAN",1.79e+11
2011,"HONDA","JAZZ","OTOMATIS","BENSIN",104665,"SLEMAN",1.49e+11
2013,"TOYOTA","KIJANG INNOVA","MANUAL","BENSIN",45441,"SLEMAN",1.825e+11
2009,"NISSAN","GRAND","OTOMATIS","BENSIN",150000,"SIDOARJO",9.5e+10
2018,"TOYOTA","RUSH","MANUAL","BENSIN",36000,"BANDUNG",2.4e+11
2018,"TOYOTA","RUSH","OTOMATIS","BENSIN",11000,"BEKASI",2.43e+11
2016,"TOYOTA","AGYA","OTOMATIS","BENSIN",31800,"BEKASI",1.02e+11
2016,"TOYOTA","AGYA","OTOMATIS","BENSIN",31800,"BEKASI",1.02e+11
2014,"JEEP","WRANGLER","OTOMATIS","BENSIN",20915,"TANGERANG",6.9e+11
2015,"MERCEDES-BENZ","CLA","OTOMATIS","BENSIN",29700,"TANGERANG",4.9e+11
2014,"DAIHATSU","AYLA","MANUAL","BENSIN",68880,"JAKARTA TIMUR",7.35e+10
2015,"SUZUKI","ERTIGA","MANUAL","BENSIN",51348,"JAKARTA BARAT",1.18e+11
2012,"TOYOTA","YARIS","OTOMATIS","BENSIN",126000,"JAKARTA BARAT",1.065e+11
2015,"SUZUKI","ERTIGA","MANUAL","BENSIN",51348,"JAKARTA BARAT",1.18e+11
2012,"TOYOTA","YARIS","OTOMATIS","BENSIN",126000,"JAKARTA BARAT",1.065e+11
2011,"TOYOTA","KIJANG INNOVA","MANUAL","BENSIN",125000,"BANDUNG",1.48e+11
2019,"HONDA","MOBILIO","MANUAL","BENSIN",20000,"MALANG",2.05e+11
2013,"TOYOTA","YARIS","OTOMATIS","BENSIN",63000,"JAKARTA SELATAN",1.35e+11
2018,"HONDA","BRIO","OTOMATIS","BENSIN",20000,"MAKASSAR",1.4e+11
2016,"TOYOTA","CALYA","OTOMATIS","BENSIN",30000,"MAKASSAR",1.35e+11
2013,"TOYOTA","AVANZA","MANUAL","BENSIN",60000,"MAKASSAR",1.4e+11
2017,"TOYOTA","CALYA","MANUAL","BENSIN",20000,"MAKASSAR",1.27e+11
2013,"TOYOTA","AVANZA","OTOMATIS","BENSIN",50000,"MAKASSAR",1.35e+11
2014,"TOYOTA","FORTUNER","OTOMATIS","SOLAR",50000,"MAKASSAR",3.5e+11
2018,"HONDA","BRIO","MANUAL","BENSIN",20000,"MAKASSAR",1.4e+11
2016,"HONDA","BRIO","OTOMATIS","BENSIN",20000,"MAKASSAR",1.4e+11
2015,"HONDA","MOBILIO","MANUAL","BENSIN",50000,"MAKASSAR",1.65e+11
2016,"TOYOTA","AGYA","MANUAL","BENSIN",26000,"MAKASSAR",1.15e+11
2018,"TOYOTA","CALYA","MANUAL","BENSIN",20000,"MAKASSAR",1.3e+11
2016,"HONDA","MOBILIO","OTOMATIS","BENSIN",30000,"MAKASSAR",1.55e+11
2017,"HONDA","BRIO","OTOMATIS","BENSIN",25000,"BOGOR",1.3e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",70000,"TANGERANG SELATAN",1.2e+11
2011,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",89000,"TANGERANG SELATAN",1.3e+11
2017,"TOYOTA","CALYA","MANUAL","BENSIN",65000,"BOGOR",1.22e+11
2016,"HONDA","BRIO","OTOMATIS","BENSIN",28000,"SURABAYA",1.285e+11
2016,"HONDA","JAZZ","OTOMATIS","BENSIN",30000,"SURABAYA",2.15e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",33000,"SURABAYA",1.19e+11
2012,"TOYOTA","AVANZA","OTOMATIS","BENSIN",1e+05,"SURABAYA",1.29e+11
2012,"TOYOTA","AVANZA","OTOMATIS","BENSIN",1e+05,"SURABAYA",1.27e+11
2017,"TOYOTA","FORTUNER","OTOMATIS","SOLAR",40000,"SURABAYA",4.3e+11
2008,"TOYOTA","KIJANG INNOVA","MANUAL","SOLAR",180000,"SURABAYA",1.47e+11
2016,"HONDA","JAZZ","MANUAL","BENSIN",70000,"SURABAYA",2.2e+11
2017,"TOYOTA","KIJANG INNOVA","MANUAL","SOLAR",37000,"SURABAYA",3.05e+11
2018,"DAIHATSU","TERIOS","MANUAL","BENSIN",29000,"SURABAYA",2.3e+11
